table,rows,hasModel,callers,component,emptyClass,compClass,refCols
daily_macro_logs,1,true,10,main,,,userId|aiConversationId|sourceRecordId|loggedByUserId|reviewedByUserId|draftId|clientRequestId
daily_workout_forms,108,true,10,main,,,session_id|client_id|trainer_id
e2ee_key_bundles,0,false,1,detached(2),unmodelled,drift-suspect,user_id|signed_prekey_id|registration_id|device_id
e2ee_one_time_prekeys,0,false,1,detached(2),unmodelled,app-ref,bundle_id|prekey_id
equipment,0,true,61,main,modelled-called,,
equipment_exercise_map,8,true,0,main,,,equipmentItemId|customExerciseId
equipment_items,10,true,3,main,,,profileId
equipment_profiles,3,true,5,main,,,trainerId
equipment_scan_candidates,0,true,0,main,modelled-uncalled,,sessionId|profileId|equipmentItemId|duplicateOfItemId
equipment_scan_sessions,0,true,0,main,modelled-uncalled,,profileId|trainerId
exercise_equipment,0,true,1,main,modelled-called,,exerciseId|equipmentId
exercise_library,0,true,6,main,modelled-called,,created_by_admin_id
exercise_muscle_groups,0,true,0,main,modelled-uncalled,,exerciseId|muscleGroupId
exercise_trends,0,true,0,main,modelled-uncalled,,
exercise_videos,0,false,4,main,unmodelled,,exercise_id|uploader_id|video_id
exercises,0,true,140,detached(1),modelled-called,truly-isolated,
financial_transactions,0,true,1,main,modelled-called,,userId|orderId|cartId|stripePaymentIntentId|stripeChargeId
flag_audit,8,false,1,detached(1),,truly-isolated,
flag_health,0,false,1,detached(1),unmodelled,truly-isolated,
flag_overrides,2,false,3,detached(2),,truly-isolated,
flags,3,false,45,detached(2),,truly-isolated,
food_ingredients,35,true,0,detached(1),,truly-isolated,
food_products,1,true,0,detached(1),,truly-isolated,
food_scan_history,0,true,5,main,modelled-called,,userId
form_analyses,0,true,1,main,modelled-called,,userId|trainerId|sessionId
gallery_donations,4,true,1,detached(8),,app-ref,visitor_id|event_id|stripe_payment_id
gallery_enhancement_requests,0,true,0,detached(8),modelled-uncalled,app-ref,visitor_id|photo_id
gallery_events,5,true,2,detached(8),,app-ref,cover_photo_id
gallery_messages,1,true,1,detached(8),,app-ref,visitor_id|event_id
gallery_photo_votes,0,true,0,detached(8),modelled-uncalled,app-ref,photo_id|visitor_id
gallery_photos,793,true,3,detached(8),,app-ref,event_id
gallery_referrals,0,true,1,detached(8),modelled-called,app-ref,visitor_id|event_id
gallery_visitors,36,true,2,detached(8),,drift-suspect,event_id|user_id
goal_comments,0,true,0,main,modelled-uncalled,,goalId|userId
